Company Name,Model Name,Price,Model Year,Location,Mileage,Engine Type,Engine Capacity,Color,Assembly,Body Type,Transmission Type,Registration Status
Suzuki,Mehran,490000,2009,Punjab,48000,Petrol,800,Silver,Local,Hatchback,Manual,Registered
Honda,City,1855000,2015,Punjab,61000,Petrol,1300,White,Local,Sedan,Manual,Registered
Daihatsu,Mira,1275000,2011,Sindh,76000,Petrol,660,Silver,Imported,Hatchback,Automatic,Registered
BMW,7,3000000,2003,Islamabad,230000,Petrol,3600,White,Imported,Sedan,Automatic,Registered
Suzuki,Alto,1525000,2019,Punjab,9000,Petrol,660,Silver,Local,Hatchback,Automatic,Registered
Toyota,Prius,2450000,2010,Islamabad,114000,Petrol,1800,Red,Imported,Sedan,Automatic,Registered
Suzuki,Alto,425000,2003,Sindh,228000,Petrol,1000,Beige,Local,Hatchback,Manual,Registered
Toyota,Corolla,800000,1996,KPK,100000,Petrol,1500,Maroon,Local,Sedan,Manual,Registered
Toyota,Corolla,1875000,2012,Sindh,70000,Petrol,1600,Black,Local,Sedan,Automatic,Registered
Toyota,Corolla,1300000,2014,Punjab,100000,Petrol,1300,Black,Local,Sedan,Manual,Registered
Toyota,Corolla,3100000,2015,Islamabad,100000,Hybrid,1500,White,Imported,Sedan,Automatic,Un-Registered
Toyota,Corolla,2350000,2015,Punjab,117000,Petrol,1600,Black,Local,Sedan,Automatic,Registered
Honda,Civic,3185000,2016,Punjab,109000,Petrol,1500,White,Local,Sedan,Automatic,Registered
Honda,Vezel,5350000,2018,Islamabad,13000,Petrol,1500,Assembly,Imported,Cross Over,Automatic,Un-Registered
Nissan,Juke,2350000,2011,Sindh,96000,Petrol,1500,Black,Imported,SUV,Automatic,Registered
Toyota,Corolla,2725000,2015,Punjab,85000,Petrol,1800,White,Local,Sedan,Automatic,Registered
Suzuki,Khyber,400000,1994,Punjab,168035,Petrol,1000,Assembly,Local,Hatchback,Manual,Registered
Toyota,Corolla,800000,1996,Sindh,194632,Petrol,1600,White,Local,Sedan,Manual,Registered
Toyota,Vitz,1150000,1999,Islamabad,299999,Petrol,1000,Silver,Imported,Hatchback,Automatic,Registered
KIA,Pride,525000,1996,Punjab,100000,Petrol,1100,White,Local,Hatchback,Manual,Registered
Honda,Civic,3280000,2017,Punjab,55000,Petrol,1800,White,Local,Sedan,Automatic,Registered
Suzuki,Wagon,1655000,2019,Punjab,11000,Petrol,1000,Silver,Local,Hatchback,Manual,Registered
Toyota,Noah,3400000,2014,Sindh,75000,Hybrid,1800,Black,Imported,Mini Van,Automatic,Un-Registered
Suzuki,Cultus,530000,2007,Punjab,100000,Petrol,1000,Black,Local,Hatchback,Manual,Registered
Suzuki,Cultus,1035000,2014,Punjab,60000,Petrol,1000,Grey,Local,Hatchback,Manual,Registered
Mazda,Carol,1450000,2016,Punjab,28000,Petrol,660,Assembly,Imported,Hatchback,Automatic,Un-Registered
Suzuki,Cultus,510000,2003,KPK,123456,Petrol,1000,White,Local,Hatchback,Manual,Registered
Toyota,Corolla,2725000,2018,Punjab,21500,Petrol,1300,Silver,Local,Sedan,Manual,Registered
Suzuki,Mehran,248000,1999,KPK,300000,Petrol,800,White,Local,Hatchback,Manual,Registered
Toyota,Corolla,950000,2004,Kashmir,200000,Diesel,2000,White,Imported,Sedan,Manual,Registered
Hyundai,Santro,465000,2003,Sindh,68000,Petrol,1000,Red,Local,Hatchback,Manual,Registered
Toyota,Corolla,2900000,2017,Punjab,30000,Petrol,1600,White,Local,Sedan,Automatic,Registered
Suzuki,Bolan,550000,2008,KPK,66000,Petrol,800,White,Local,Mini Van,Manual,Registered
Honda,City,1625000,2013,Punjab,130000,Petrol,1300,White,Local,Sedan,Manual,Registered
Suzuki,Alto,640000,2008,KPK,100000,Petrol,1000,Grey,Local,Hatchback,Manual,Registered
Suzuki,Alto,1400000,2019,Punjab,14000,Petrol,660,White,Local,Hatchback,Manual,Registered
Suzuki,Mehran,550000,2011,Sindh,73000,Petrol,800,Grey,Local,Hatchback,Manual,Registered
